review_uid,destination,language_review,aspecto,polaridad_objetivo,stars,calidad_senal,text_clean,input_modelo,label
gm_ed54e61ca45d4e94,Centro Histórico de Lima,en,clima,negativo,5,alta,"There is so much Plaza de Armas can offer to a visitor, beautiful cityscape, a park, a fountain, a wide range of historical buildings, churches, and unparalleled photo ops. The square, recently rechristened as Plaza Mayor (often a times the double or overlapping names are the cases with many a landmark in Lima; for instance Miraflores park got two additional names, Kennedy Park and June 7th Park) consists of the following main attractions: 1) Two arcade buildings (south side of the plaza), with the first one being the headquarters of the weekly publication Caretas. The arcades provide pleasant shelter during hot days (rain is very rare in Lima) and are lined with shops and mostly tourists-oriented restaurants (for fine dining one has to leave the historic center of Lima and head to Miraflores, Barranco or San-Isidro districts of the city). 2) On the plaza's eastern side there is magnificent Lima Cathedral, with its construction began almost 600 years ago and Archbishop's Palace of Lima (about 100 years old but built in the neo-colonial architectural style). 3) The Government Palace of Peru on its northern side (Palacio de Gobierno del Perú) dating back to the same time period as the Archbishop's Palace of Lima, the late 1920s - early 1930s. The palace is hard to take a good picture of due to the massive fence in front of it. 4) The City Hall (Palacio Municipal de Lima) and Palacio de la Union, hosting the prestigious social institution, Club de la Unión, both on the western side of the square. Both buildings are the latest additions inaugurated in the 1940s. As mentioned, even though all the yellow buildings with its wooden carved Moorish balconies resemble the classical colonial architecture, in reality they all date to the first half of the proceeding century. Each building on the plaza deserves a dedicated tour and description, however, as a whole ensemble, Plaza Mayor is one of the best known places in the city and should be visited on a broader tour of the historical center of Lima. Usually a walk from Plaza San-Martin in the south, including the pedestrian Jirón de la Unión, and the areas surroundings Plaza Mayor (Jirón Cabaya, Jirón Lampa, Jirón Callao, Jirón Junín, Jirón Ancash, Plazuela San-Francisco, and the area facing Rimac river) will give you a great sense of downtown Lima. There are lots of souvenir shops offering bottles of Pisco in various shapes and sizes, and products woven of llama, alpaca, or vicuna fur, in addition to the more standard tourist items. Exercise prudence venturing to the east of Plazuela San-Francisco; crossing Avenida Abancay will take you to Barrios Altos, not a neighborhood best-suited for solo walks, especially after sunset.","aspecto: clima reseña: There is so much Plaza de Armas can offer to a visitor, beautiful cityscape, a park, a fountain, a wide range of historical buildings, churches, and unparalleled photo ops. The square, recently rechristened as Plaza Mayor (often a times the double or overlapping names are the cases with many a landmark in Lima; for instance Miraflores park got two additional names, Kennedy Park and June 7th Park) consists of the following main attractions: 1) Two arcade buildings (south side of the plaza), with the first one being the headquarters of the weekly publication Caretas. The arcades provide pleasant shelter during hot days (rain is very rare in Lima) and are lined with shops and mostly tourists-oriented restaurants (for fine dining one has to leave the historic center of Lima and head to Miraflores, Barranco or San-Isidro districts of the city). 2) On the plaza's eastern side there is magnificent Lima Cathedral, with its construction began almost 600 years ago and Archbishop's Palace of Lima (about 100 years old but built in the neo-colonial architectural style). 3) The Government Palace of Peru on its northern side (Palacio de Gobierno del Perú) dating back to the same time period as the Archbishop's Palace of Lima, the late 1920s - early 1930s. The palace is hard to take a good picture of due to the massive fence in front of it. 4) The City Hall (Palacio Municipal de Lima) and Palacio de la Union, hosting the prestigious social institution, Club de la Unión, both on the western side of the square. Both buildings are the latest additions inaugurated in the 1940s. As mentioned, even though all the yellow buildings with its wooden carved Moorish balconies resemble the classical colonial architecture, in reality they all date to the first half of the proceeding century. Each building on the plaza deserves a dedicated tour and description, however, as a whole ensemble, Plaza Mayor is one of the best known places in the city and should be visited on a broader tour of the historical center of Lima. Usually a walk from Plaza San-Martin in the south, including the pedestrian Jirón de la Unión, and the areas surroundings Plaza Mayor (Jirón Cabaya, Jirón Lampa, Jirón Callao, Jirón Junín, Jirón Ancash, Plazuela San-Francisco, and the area facing Rimac river) will give you a great sense of downtown Lima. There are lots of souvenir shops offering bottles of Pisco in various shapes and sizes, and products woven of llama, alpaca, or vicuna fur, in addition to the more standard tourist items. Exercise prudence venturing to the east of Plazuela San-Francisco; crossing Avenida Abancay will take you to Barrios Altos, not a neighborhood best-suited for solo walks, especially after sunset.",
gm_1e83e6a6b3ff1829,Circuito Mágico del Agua,es,clima,negativo,5,alta,"Hace años que no iba al Parque de la Reserva, así que aproveche en ir a las 3 de la tarde para poder tomar fotos, por suerte estuvo algo nublado y obtuve buenas tomas. Es un lugar para compartir en familia, paseas con personas que aprecias y poder disfrutar de las fuentes, las flores, la música y en época de calor de jugar con el agua y darse un chapuson. Me queda pendiente ir de noche... aunque habrá muchas personas de seguro. Disfruten ir a este bello parque, es super recomendable.","aspecto: clima reseña: Hace años que no iba al Parque de la Reserva, así que aproveche en ir a las 3 de la tarde para poder tomar fotos, por suerte estuvo algo nublado y obtuve buenas tomas. Es un lugar para compartir en familia, paseas con personas que aprecias y poder disfrutar de las fuentes, las flores, la música y en época de calor de jugar con el agua y darse un chapuson. Me queda pendiente ir de noche... aunque habrá muchas personas de seguro. Disfruten ir a este bello parque, es super recomendable.",
gm_af19e72d9408ba88,Ciudadela de Kuélap,es,clima,negativo,5,alta,"Impresionante construcción, neblina, lluvia, naturaleza, rocas y aire puro se combinan en armonía de esta fortaleza. Construida por la cultura Chacha.","aspecto: clima reseña: Impresionante construcción, neblina, lluvia, naturaleza, rocas y aire puro se combinan en armonía de esta fortaleza. Construida por la cultura Chacha.",
gm_2771cbb442a698c7,Líneas y Geoglifos de Nasca y Palpa,en,clima,negativo,5,media,"Very interesting that such shallow lines don't get erased with the wind or the rain. Lines are not in just one spot. The monkey, for ex., you'll need to be airborne to see it, while for the lizard all you need to do is climb some stairs (viewing tower)","aspecto: clima reseña: Very interesting that such shallow lines don't get erased with the wind or the rain. Lines are not in just one spot. The monkey, for ex., you'll need to be airborne to see it, while for the lizard all you need to do is climb some stairs (viewing tower)",
gm_538fdfb3860ca528,Monasterio de Santa Catalina,en,clima,negativo,5,media,"We loved our experience of the Monastery. A fascinating history and indeed the most beautiful and well preserved place you will visit in Peru. 40 soles entrance plus 10 soles each for an English speaking guide who was ok but not overly enthusiastic (think she’s bored of regurgitating the facts), still worth hearing however. The entrance fees are high for Peru and I believe some of the money goes to the upkeep of the monastery and some goes to the 18 active nuns still living in a separate section of the convent. If you’ve been to southern Spain this will be a particularly wowing experience for you as the architecture and colour-scheme are just of that in Córdoba and Granada. We spent almost 2 hours including the 45minute-1hr guided tour. We went at 10:30am and it was already a little busy, quite hot by the time we wanted to leave too. I would go earlier as the light might be a little softer for pictures, less busy and less hot. My boyfriend was a little irritated taking film photos because a few times someone stepped right into the otherwise clear frame just as he clicked the button. Haha Afterwards we went for coffee to La Dispenserie which was fantastic, buy a loaf of their ciabatta for 8 soles! It’s incredible. Love love loved it, could not recommend it more highly.","aspecto: clima reseña: We loved our experience of the Monastery. A fascinating history and indeed the most beautiful and well preserved place you will visit in Peru. 40 soles entrance plus 10 soles each for an English speaking guide who was ok but not overly enthusiastic (think she’s bored of regurgitating the facts), still worth hearing however. The entrance fees are high for Peru and I believe some of the money goes to the upkeep of the monastery and some goes to the 18 active nuns still living in a separate section of the convent. If you’ve been to southern Spain this will be a particularly wowing experience for you as the architecture and colour-scheme are just of that in Córdoba and Granada. We spent almost 2 hours including the 45minute-1hr guided tour. We went at 10:30am and it was already a little busy, quite hot by the time we wanted to leave too. I would go earlier as the light might be a little softer for pictures, less busy and less hot. My boyfriend was a little irritated taking film photos because a few times someone stepped right into the otherwise clear frame just as he clicked the button. Haha Afterwards we went for coffee to La Dispenserie which was fantastic, buy a loaf of their ciabatta for 8 soles! It’s incredible. Love love loved it, could not recommend it more highly.",
gm_fb32c7ce20abcfce,Museo Tumbas Reales del Señor de Sipán,es,clima,negativo,5,alta,Hermoso lugar...recomiendo visitarlo a todos los q pasen x Lambayeque Dato. Adentro del museo es todo bien oscuro y hace un poco de calor ya que todo está a 25 grados aproximadamente por el tema de la conservación de las joyas así q si van con niños pequeños la visita debe ser rápida...ya q se acaloran incluso sienten q se asfixian por el tema de la oscuridad más calor me imagino Y con cuidado ya q al salir corre bastante viento y el cambio de temperatura brusca en bebés los puede enfermar...,aspecto: clima reseña: Hermoso lugar...recomiendo visitarlo a todos los q pasen x Lambayeque Dato. Adentro del museo es todo bien oscuro y hace un poco de calor ya que todo está a 25 grados aproximadamente por el tema de la conservación de las joyas así q si van con niños pequeños la visita debe ser rápida...ya q se acaloran incluso sienten q se asfixian por el tema de la oscuridad más calor me imagino Y con cuidado ya q al salir corre bastante viento y el cambio de temperatura brusca en bebés los puede enfermar...,
gm_57b37890d67fb111,Museo de Sitio Huaca Pucllana,en,clima,negativo,1,alta,Not worth the visit. There’s an hour long guided tour but we left early bc it was so hot / uninformative. Would personally skip this one,aspecto: clima reseña: Not worth the visit. There’s an hour long guided tour but we left early bc it was so hot / uninformative. Would personally skip this one,
gm_93577434210ad69c,Reserva Nacional de Paracas,es,clima,negativo,5,alta,"Una playa dentro de la Reserva de Paracas, es sorprendente 🥰 el más es tranquilo y cristalino, se los recomiendo para ir con familia, etc. Muchas veces es parte de los tour, así que es infaltable pueden bañarse pero en esta temporada hace bastante viento y frío moderado.","aspecto: clima reseña: Una playa dentro de la Reserva de Paracas, es sorprendente 🥰 el más es tranquilo y cristalino, se los recomiendo para ir con familia, etc. Muchas veces es parte de los tour, así que es infaltable pueden bañarse pero en esta temporada hace bastante viento y frío moderado.",
gm_4b319b1fe7eaac4c,Santuario Histórico de Machu Picchu,en,clima,negativo,5,alta,"Absolutely fascinating! Awesome in size and location. Solid walls ,buildings ,steep terraces. Peru tourism is very well organised .controlling the vast number of visitors to this site. Visited as the end of a 14 day small group tour so all the elements were co ordinated by the tour operator(UK based but with local agent) Train into town, Bus to and from site and site entry. All tickets are timed. Perfect weather. Not too cold/hot/misty or rainy! I did struggle a bit in the initial part of the ascent but after that it was fine. There are no toilets inside the site but plenty by the main entrance/bus stop. Remember to take water with you(in re usable bottle) and not a lot else(camera of course) as big bags not allowed.","aspecto: clima reseña: Absolutely fascinating! Awesome in size and location. Solid walls ,buildings ,steep terraces. Peru tourism is very well organised .controlling the vast number of visitors to this site. Visited as the end of a 14 day small group tour so all the elements were co ordinated by the tour operator(UK based but with local agent) Train into town, Bus to and from site and site entry. All tickets are timed. Perfect weather. Not too cold/hot/misty or rainy! I did struggle a bit in the initial part of the ascent but after that it was fine. There are no toilets inside the site but plenty by the main entrance/bus stop. Remember to take water with you(in re usable bottle) and not a lot else(camera of course) as big bags not allowed.",
gm_4a3a86bc7ddadfcd,Valle del Colca,es,clima,negativo,5,alta,"Un paisaje inigualable, es recomendable ir entre los meses de mayo y septiembre para poder ver al cóndor, y apreciar mejor la vista. Hay Tours en la plaza de arequipa que te pueden llevar en un Full day o trekking por 3 o 4 días. Los precios varían, pero son bastante cómodos. Siempre es bueno llevar una protección para la lluvia, y recomendaría llevar guantes para el frío.","aspecto: clima reseña: Un paisaje inigualable, es recomendable ir entre los meses de mayo y septiembre para poder ver al cóndor, y apreciar mejor la vista. Hay Tours en la plaza de arequipa que te pueden llevar en un Full day o trekking por 3 o 4 días. Los precios varían, pero son bastante cómodos. Siempre es bueno llevar una protección para la lluvia, y recomendaría llevar guantes para el frío.",
gm_28f9ea60f831b944,Centro Histórico de Lima,en,clima,negativo,3,alta,"A nice place to walk around basking in the vast colonial era buildings and cathedrals. The colours of the buildings are colourfully pastel. This seems typical of this part of the world. The sun is not hot, just warm enough on most days and there are no rains. The plazas and the buildings are vast, so go girded to walk long distances and carry a bottle of water. Walk in group, don't risk it alone. See the Art Museum to understand some history of the place.","aspecto: clima reseña: A nice place to walk around basking in the vast colonial era buildings and cathedrals. The colours of the buildings are colourfully pastel. This seems typical of this part of the world. The sun is not hot, just warm enough on most days and there are no rains. The plazas and the buildings are vast, so go girded to walk long distances and carry a bottle of water. Walk in group, don't risk it alone. See the Art Museum to understand some history of the place.",
gm_6dbefb3b6abf1bf7,Circuito Mágico del Agua,es,clima,negativo,5,media,He ido varias veces y aún me sigo sorprendiendo cada vez que voy por su variedad . El túnel de agua antes te mojaba apenas pero ahora si te muja y es agradable con el calor que hace muy bien para los reguladores del caudal del agua,aspecto: clima reseña: He ido varias veces y aún me sigo sorprendiendo cada vez que voy por su variedad . El túnel de agua antes te mojaba apenas pero ahora si te muja y es agradable con el calor que hace muy bien para los reguladores del caudal del agua,
gm_7b83d11652c90088,Ciudadela de Kuélap,es,clima,negativo,5,alta,"Conjunto arqueológico, de la ciudad entre las nubes, más grande que el Templo de Chavin de Huantar, pero más chico que Machu Picchu. En noviembre, todavía es buena época, porque las lluvias son suaves, y es una experiencia mística, aparte que no te ahogas con el calor.","aspecto: clima reseña: Conjunto arqueológico, de la ciudad entre las nubes, más grande que el Templo de Chavin de Huantar, pero más chico que Machu Picchu. En noviembre, todavía es buena época, porque las lluvias son suaves, y es una experiencia mística, aparte que no te ahogas con el calor.",
gm_35cdfa63a00d851f,Líneas y Geoglifos de Nasca y Palpa,en,clima,negativo,5,media,Remote and difficult desert🌵Like any desert it gets very hot. It’s an interesting part of Peru with rich history.,aspecto: clima reseña: Remote and difficult desert🌵Like any desert it gets very hot. It’s an interesting part of Peru with rich history.,
gm_548dabf5527c650c,Monasterio de Santa Catalina,en,clima,negativo,4,media,Plenty to see although some of it can be a bit samey after a while. 45 soles entry with the option to pay for a guided tour. If I had more free time I would have liked to opt for the guide as they did add a lot of context and value from the parts I overheard. You can get a good feeling for the rooms without a guide due to the various informational plaques scattered around. Plenty of spots for photo opportunities and the insides are nice and cool to get some respite from the sun.,aspecto: clima reseña: Plenty to see although some of it can be a bit samey after a while. 45 soles entry with the option to pay for a guided tour. If I had more free time I would have liked to opt for the guide as they did add a lot of context and value from the parts I overheard. You can get a good feeling for the rooms without a guide due to the various informational plaques scattered around. Plenty of spots for photo opportunities and the insides are nice and cool to get some respite from the sun.,
gm_83f5f02324cb6261,Museo Tumbas Reales del Señor de Sipán,es,clima,negativo,5,media,"Museo muy moderno y completo. Recomiendo que usen mejor su sistema de ventilación, se siente mucho calor dentro.","aspecto: clima reseña: Museo muy moderno y completo. Recomiendo que usen mejor su sistema de ventilación, se siente mucho calor dentro.",
gm_a801b41075d8347a,Museo de Sitio Huaca Pucllana,en,clima,negativo,1,alta,"Had I known they had animals locked up in tiny cages, exposed to the sun (animals that live in cold weathers) just to show you what animals these cultures were in contact with, I would never have paid the entrance. They could just use animal figures, like they do to represent humans throughout the whole site.","aspecto: clima reseña: Had I known they had animals locked up in tiny cages, exposed to the sun (animals that live in cold weathers) just to show you what animals these cultures were in contact with, I would never have paid the entrance. They could just use animal figures, like they do to represent humans throughout the whole site.",
gm_f6c6e7e166cd1cba,Reserva Nacional de Paracas,es,clima,negativo,5,alta,"Es un lugat espectacular, lo unico que recomiendo es que lleven alguna prenda que abrigue. Ya que el viento suele ser frio.","aspecto: clima reseña: Es un lugat espectacular, lo unico que recomiendo es que lleven alguna prenda que abrigue. Ya que el viento suele ser frio.",
gm_c08c419e3d9c950b,Santuario Histórico de Machu Picchu,en,clima,negativo,5,alta,"As good as they say. I’d recommend doing it with a guide, and coming in the morning (not necessarily sunrise though) since it tends to get rainy and cloudy in the afternoon - at least in October. Anyway, it’s only especially crowded in certain parts, and if you’re not as focused on getting certain famous photos, you don’t need to worry too much about crowds.","aspecto: clima reseña: As good as they say. I’d recommend doing it with a guide, and coming in the morning (not necessarily sunrise though) since it tends to get rainy and cloudy in the afternoon - at least in October. Anyway, it’s only especially crowded in certain parts, and if you’re not as focused on getting certain famous photos, you don’t need to worry too much about crowds.",
gm_462af946ee4a8c50,Valle del Colca,es,clima,negativo,5,alta,"Recomendadísimo para ir, yo fui en diciembre y había mucho sol, pero también fui en febrero que fue cuando encontré nieve para los amantes del frío. Las vistas son impresionantes, solo lleven gorro si hay sol y abrigarse porque el viento es helado.","aspecto: clima reseña: Recomendadísimo para ir, yo fui en diciembre y había mucho sol, pero también fui en febrero que fue cuando encontré nieve para los amantes del frío. Las vistas son impresionantes, solo lleven gorro si hay sol y abrigarse porque el viento es helado.",
