review_uid,destination,language_review,aspecto,stars,sentiment_by_stars,n_cues_neg,cues_neg,calidad_senal,text_clean,input_modelo,sugerencia_heuristica,label
gm_31abcd0cc09c46bb,Centro Histórico de Lima,es,costos,4,positivo,2,cerrado;cobran,alta,"Fui el día Domingo de Ramos con mi familia, estuvo genial. No se cobran entradas para ingresar a la plaza de Armas. En los días particulares en cualquier momento puede estar cerrado por algunas horas.","aspecto: costos reseña: Fui el día Domingo de Ramos con mi familia, estuvo genial. No se cobran entradas para ingresar a la plaza de Armas. En los días particulares en cualquier momento puede estar cerrado por algunas horas.",negativo (heurística por estrellas 1-2; REQUIERE verificación humana),
gm_4d2c45cfa9b72384,Circuito Mágico del Agua,es,costos,2,negativo,4,decepcion;lleno;no funciona;nunca,alta,"Fui hace 2 semanas y no es ni la sombra de lo que fue. El parque lleno de stands de comida y demás. Las fuentes no funcionaban como antes. La que tira el chorro alto jamás lo tiró. Según información del encargado una parte está comcesionada desde enero, razón por la cuál había una feria y para ver esa parte había que pagar otra entrada y obvio había una feria así que se perdía lo bonito del parque con sus fuentes. Una decepción realmente. Lo único bueno fue la proyección de la historia del Perú. Vivo fuera hace 2 años traté de ir con mi familia y también había una feria y no pudimos hacerlo. Y el libro de reclamaciones es virtual y te envían un código por texto para poder enviar tu queja y el código nunca llegó.","aspecto: costos reseña: Fui hace 2 semanas y no es ni la sombra de lo que fue. El parque lleno de stands de comida y demás. Las fuentes no funcionaban como antes. La que tira el chorro alto jamás lo tiró. Según información del encargado una parte está comcesionada desde enero, razón por la cuál había una feria y para ver esa parte había que pagar otra entrada y obvio había una feria así que se perdía lo bonito del parque con sus fuentes. Una decepción realmente. Lo único bueno fue la proyección de la historia del Perú. Vivo fuera hace 2 años traté de ir con mi familia y también había una feria y no pudimos hacerlo. Y el libro de reclamaciones es virtual y te envían un código por texto para poder enviar tu queja y el código nunca llegó.",negativo (heurística por estrellas 1-2; REQUIERE verificación humana),
gm_49352f4fdbb6f3a1,Ciudadela de Kuélap,es,costos,4,positivo,2,abandonado;sucia,alta,"Vista 2019 un lugar hermoso y amplio pero algo abandonado cuando fuimos estaban haciendo reparaciones consultamos y nos dijieron que esas reparaciones estaban así hace años sin terminar. Desde la entrada puedes subir a la ciudadela a pie o a caballo. En la misma ciudadela todo es ordenando y limpio hay tachos por todas partes pero siempre hay una que otra persona que no entiende y ensucia igual. Los únicos baños están en la entrada, así que te recomiendo ir al baño antes de comenzar la caminata","aspecto: costos reseña: Vista 2019 un lugar hermoso y amplio pero algo abandonado cuando fuimos estaban haciendo reparaciones consultamos y nos dijieron que esas reparaciones estaban así hace años sin terminar. Desde la entrada puedes subir a la ciudadela a pie o a caballo. En la misma ciudadela todo es ordenando y limpio hay tachos por todas partes pero siempre hay una que otra persona que no entiende y ensucia igual. Los únicos baños están en la entrada, así que te recomiendo ir al baño antes de comenzar la caminata",negativo (heurística por estrellas 1-2; REQUIERE verificación humana),
gm_6f4f074165405131,Líneas y Geoglifos de Nasca y Palpa,en,costos,5,positivo,1,expensive,media,The best way to see tle lines is to take a flight whis is quite expensive. But you will to that onice in a life ;) ❤🏞🌞🔝,aspecto: costos reseña: The best way to see tle lines is to take a flight whis is quite expensive. But you will to that onice in a life ;) ❤🏞🌞🔝,negativo (heurística por estrellas 1-2; REQUIERE verificación humana),
gm_cc74d80c44bc2e79,Monasterio de Santa Catalina,es,costos,5,positivo,3,caro;cobran;lleno,alta,"Me tocó ir el último domingo del mes por lo que había promoción en los precios de las entradas (Me costó 12 soles, niños 5) Vean en el Facebook del Monasterio. Muy interesante. Ya adentro las guías cobran 5 soles, por persona muy interesante todo lo que explicaron. El queso helado que venden dentro sí me pareció un poco caro pero estuvo rico, tiene un sabor más concentrado que el que venden en la calle 🙂 Es un lugar lleno de historia con escenarios y muros para tomarse bellas fotos.","aspecto: costos reseña: Me tocó ir el último domingo del mes por lo que había promoción en los precios de las entradas (Me costó 12 soles, niños 5) Vean en el Facebook del Monasterio. Muy interesante. Ya adentro las guías cobran 5 soles, por persona muy interesante todo lo que explicaron. El queso helado que venden dentro sí me pareció un poco caro pero estuvo rico, tiene un sabor más concentrado que el que venden en la calle 🙂 Es un lugar lleno de historia con escenarios y muros para tomarse bellas fotos.",negativo (heurística por estrellas 1-2; REQUIERE verificación humana),
gm_59a8163927c16d8d,Museo Tumbas Reales del Señor de Sipán,es,costos,3,neutro,1,caro,media,"Está bien, la exposición buena y la guía también.Los costos de entradas más barato de lo que creí. Los baños limpios. Sólo que como todo museo...si quieres un merchandising está caro, inclusive para los turistas locales. Otra cosa que no me gustó es que no puedes entrar con cámaras y esto incluye celulares. Solo puedes tomarte fotos por fuera del museo. En fin, es parte de las reglas.","aspecto: costos reseña: Está bien, la exposición buena y la guía también.Los costos de entradas más barato de lo que creí. Los baños limpios. Sólo que como todo museo...si quieres un merchandising está caro, inclusive para los turistas locales. Otra cosa que no me gustó es que no puedes entrar con cámaras y esto incluye celulares. Solo puedes tomarte fotos por fuera del museo. En fin, es parte de las reglas.",negativo (heurística por estrellas 1-2; REQUIERE verificación humana),
gm_575954b700fa9c73,Museo de Sitio Huaca Pucllana,en,costos,4,positivo,2,closed;expensive,alta,Quick inexpensive tour with 360°views of Lima atop the ruins. Make reservations online prior to visit. Closed Tuesday and Thursday...not sure about Sunday. 15 soles for gringos Great no BS Italian food adjacent to the entrance and Gian Francos,aspecto: costos reseña: Quick inexpensive tour with 360°views of Lima atop the ruins. Make reservations online prior to visit. Closed Tuesday and Thursday...not sure about Sunday. 15 soles for gringos Great no BS Italian food adjacent to the entrance and Gian Francos,negativo (heurística por estrellas 1-2; REQUIERE verificación humana),
gm_c02af48e30f29223,Reserva Nacional de Paracas,es,costos,3,neutro,2,cobran;estafa,alta,No esta mal. Aunque cobran por entrar. Se nota que es una estafa. Pero las autoridades no hacen nada.,aspecto: costos reseña: No esta mal. Aunque cobran por entrar. Se nota que es una estafa. Pero las autoridades no hacen nada.,negativo (heurística por estrellas 1-2; REQUIERE verificación humana),
gm_9deec0eb47313fbc,Santuario Histórico de Machu Picchu,en,costos,2,negativo,4,crowded;queue;terrible,alta,"The site itself is exactly what you see in the photos. The views around are nice. It's very crowded though, and buying tickets is a bureaucratic nightmare: You have to queue for a number that allows you to buy a ticket at a certain time. Then have to come back at that time, listen for your number (which is called out by some guy in Spanish to a crowd of hundreds), then queue again. Then you have to pick one of 6 routes and 3 additions, most of which will no longer be available in the upcoming days, depending on your luck. The routes that are available usually don't allow entrance to the actual site since those are booked way in advance via a terrible online system. If you want to go at the start of the year, you cannot book tickets in advance, because you can only by tickets for the current year. Also, this online system is down or unresponsive for most of January. Even though we booked through an agency 6 months in advance, they were not able to secure our tickets so we had to queue. In the end, our group were not able to actually visit the site, only take a photo from top.... There are so many nice things to see in Peru and South America... Including much larger and more impressive Inca settlements, which are much cheaper or even free to visit... It's really a shame the Peruvian makes it so difficult to visit this place. Unless you really really want to visit Machu Picchu, I would recommend spending your time elsewhere.","aspecto: costos reseña: The site itself is exactly what you see in the photos. The views around are nice. It's very crowded though, and buying tickets is a bureaucratic nightmare: You have to queue for a number that allows you to buy a ticket at a certain time. Then have to come back at that time, listen for your number (which is called out by some guy in Spanish to a crowd of hundreds), then queue again. Then you have to pick one of 6 routes and 3 additions, most of which will no longer be available in the upcoming days, depending on your luck. The routes that are available usually don't allow entrance to the actual site since those are booked way in advance via a terrible online system. If you want to go at the start of the year, you cannot book tickets in advance, because you can only by tickets for the current year. Also, this online system is down or unresponsive for most of January. Even though we booked through an agency 6 months in advance, they were not able to secure our tickets so we had to queue. In the end, our group were not able to actually visit the site, only take a photo from top.... There are so many nice things to see in Peru and South America... Including much larger and more impressive Inca settlements, which are much cheaper or even free to visit... It's really a shame the Peruvian makes it so difficult to visit this place. Unless you really really want to visit Machu Picchu, I would recommend spending your time elsewhere.",negativo (heurística por estrellas 1-2; REQUIERE verificación humana),
gm_cdb63a3f6437d775,Valle del Colca,es,costos,5,positivo,2,cobran;robo,alta,Una belleza en todos recorrido ...lo malo es que el municipio cobra un ticket/peaje para pasar por la zona y abarca 4 miradores...Eso es un abuso/robo...es uno de los dos lugares que conozco que cobran por entrar a una ciudad...con ese concepto todas las ciudades y pueblos del mundo pueden cobrar un ingreso y egreso...,aspecto: costos reseña: Una belleza en todos recorrido ...lo malo es que el municipio cobra un ticket/peaje para pasar por la zona y abarca 4 miradores...Eso es un abuso/robo...es uno de los dos lugares que conozco que cobran por entrar a una ciudad...con ese concepto todas las ciudades y pueblos del mundo pueden cobrar un ingreso y egreso...,negativo (heurística por estrellas 1-2; REQUIERE verificación humana),
gm_3ccee15177370baa,Centro Histórico de Lima,es,costos,4,positivo,2,lleno;maltrato,alta,"Muy linda no entiendo por qué no podíamos pase al centro de la plaza hasta que en algún momento permitieron la entrada pero ya nos estábamos retirando así que no pude apreciar el monumento de cerca, tienen mucho serensgo cuidando las áreas por lo que están limpias y bonitas y se siente seguro estar aunque no hay que olvidar que es centro hay que estar pendiente, tienen dos pobres caballos paseando turistas en unos coches que me pareció maltrato animal, un coche demasiado grande y lleno de personas para un solo caballo, por lo demás un sitio muy lindo que vale la pena conocer por demás histórico y representativo","aspecto: costos reseña: Muy linda no entiendo por qué no podíamos pase al centro de la plaza hasta que en algún momento permitieron la entrada pero ya nos estábamos retirando así que no pude apreciar el monumento de cerca, tienen mucho serensgo cuidando las áreas por lo que están limpias y bonitas y se siente seguro estar aunque no hay que olvidar que es centro hay que estar pendiente, tienen dos pobres caballos paseando turistas en unos coches que me pareció maltrato animal, un coche demasiado grande y lleno de personas para un solo caballo, por lo demás un sitio muy lindo que vale la pena conocer por demás histórico y representativo",negativo (heurística por estrellas 1-2; REQUIERE verificación humana),
gm_8ed1caeb1a2f688d,Circuito Mágico del Agua,es,costos,1,negativo,3,colas;cuidado;pesimo,alta,"Sin duda puedes disfrutarlo más de noche. Eh visto algunos extranjeros, pero también eh visto a niños perdidos, a gente en pésimo estado, hay mucho perdidos, hace MUCHA FALTA la seguridad. Esa noche de las fotos que fui, un domingo por la noche con mi familia , vi a un hombre atacando a dos mujeres con gas pimienta. Una de ella lloraba y pedía ayuda a gritos y la otra la ayudaba mientras que grababa al atacante. A unos metros de mi en pleno show histórico de las aguas de las 7pm. Este atacó a la señora eh intentó huir pero solo había uno que otro intentándolo detener y grabándolo. Además justo antes de pegar mis entradas vi a una mujer atacar a otra mujer en plena entrada con mucho niños cerca, al parecer esta le quería robar la cartera. -Deben tener mucho cuidado si van. Especialmente si van con niños -Es muy fácil perderse. -Hay enormes filas de espera, especialmente en el atardecer. (5-6pm) -Las entradas están 4 soles por persona. -Creo que también se pueden comprar por la página web. (desconozco de esta, sólo la vi en un letrero en la fila de espera) -Hay muchas ventas de adelanto de colas informales -También fuera del parque deben tener cuidado ya que es una zona algo peligrosa -Solo hay un mapa un poco más allá de la entrada, le recomiendo tomar una foto -Hay zonas muy oscuras, tengan cuidado -Si o si te vas a mojar ahí dentro Especialmente en una atracción que parece un túnel de agua y puedes pasar por debajo","aspecto: costos reseña: Sin duda puedes disfrutarlo más de noche. Eh visto algunos extranjeros, pero también eh visto a niños perdidos, a gente en pésimo estado, hay mucho perdidos, hace MUCHA FALTA la seguridad. Esa noche de las fotos que fui, un domingo por la noche con mi familia , vi a un hombre atacando a dos mujeres con gas pimienta. Una de ella lloraba y pedía ayuda a gritos y la otra la ayudaba mientras que grababa al atacante. A unos metros de mi en pleno show histórico de las aguas de las 7pm. Este atacó a la señora eh intentó huir pero solo había uno que otro intentándolo detener y grabándolo. Además justo antes de pegar mis entradas vi a una mujer atacar a otra mujer en plena entrada con mucho niños cerca, al parecer esta le quería robar la cartera. -Deben tener mucho cuidado si van. Especialmente si van con niños -Es muy fácil perderse. -Hay enormes filas de espera, especialmente en el atardecer. (5-6pm) -Las entradas están 4 soles por persona. -Creo que también se pueden comprar por la página web. (desconozco de esta, sólo la vi en un letrero en la fila de espera) -Hay muchas ventas de adelanto de colas informales -También fuera del parque deben tener cuidado ya que es una zona algo peligrosa -Solo hay un mapa un poco más allá de la entrada, le recomiendo tomar una foto -Hay zonas muy oscuras, tengan cuidado -Si o si te vas a mojar ahí dentro Especialmente en una atracción que parece un túnel de agua y puedes pasar por debajo",negativo (heurística por estrellas 1-2; REQUIERE verificación humana),
