annotation_id,review_uid,destination,language_review,text_clean,aspecto_alvaro,label_alvaro,aspecto_moises,label_moises,aspecto_erick,label_erick,aspecto,estado_acuerdo_aspecto,label,estado_acuerdo_label,estado_final
gm_357cb4ec2391546e__atencion_servicio,gm_357cb4ec2391546e,Monasterio de Santa Catalina,es,"La entrada es demasiado costosa, nose porque cuando son cosas de la iglesia las entradas son mas caras que cualquier otra cosa, es bonito si, pero solo es un convento lleno de cuartos, con uno que otro jardín, el guia cobra aparte y te lleva corriendo, y es grande el monasterio, asi que sale bien caro visitar este monasterio.",atencion_servicio,positivo,atencion_servicio,neutro,atencion_servicio,negativo,atencion_servicio,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_177c725e6b9d2aed__aforo_multitudes,gm_177c725e6b9d2aed,Museo Tumbas Reales del Señor de Sipán,es,"Es un hermoso lugar, lleno de cultura, con modernas instalaciones, si te gusta aprender y conocer un poco más sobre historia del antiguo Perú y en especial de la región lambayeque, no puedes dejar de visitarlo.",aforo_multitudes,negativo,aforo_multitudes,neutro,aforo_multitudes,positivo,aforo_multitudes,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_07640ddbea11ea64__atractivos,gm_07640ddbea11ea64,Reserva Nacional de Paracas,es,"La playa es hermosa pero hay DEMASIADA Gente!!! Aún pre oandemiay hubiera tenido algún reparo , pero ya en pandemia NO WAY, nos fuimos😢",atractivos,positivo,atractivos,neutro,atractivos,negativo,atractivos,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_460ad346851cd89e__atractivos,gm_460ad346851cd89e,Santuario Histórico de Machu Picchu,en,"1) YOU CANNOT WALK BACK, OR REPEAT ANY PART OF YOUR CIRCUIT. There are staff watching and they will blow their whistle and shout at you if you try. We arrived in a downpour so we walked to some shelter and waited it out. When we tried to walk back on the circuit we had paid for, we were not allowed. It doesn't matter that it's not busy, you want to take photos or any other reason, they will not let you walk back, even 20m. Unfortunately this was not clear when we purchased the ticket so we missed a significant portion of our route :( Therefore I'd advise you to walk slowly and enjoy the views, because once you arrive at the exit, that will be the end of your time at macchu pichu. I feel the staff lack compassion since it was 7am and quiet at macchu pichu, and I didn't want it to rain. If they had a cafe inside at the beginning I'd have waited there, but you have to enter at your time slot so I was left in a downpour in my poncho. I'd paid for flights, accomodation, and so many buses and trains to be there. The staff didn't show any compassion for my situation and were curt. <- therefore one star, but then I added one star for the staff that let me go take pictures of the llamas :) 2) TOILETS WILL COST YOU EXTRA ON TOP OF THE ENTRANCE FEE, AND BAGGAGE STORAGE. Which I also find ridiculous considering the entrance ticket is so expensive. Toilet S/2 and baggage is S/5. 3) YOU CANNOT ENTER BEFORE THE ENTRANCE TIME ON YOUR TICKET Something to do with the system they use. 4) DO NOT FLY A DRONE The staff have a walkie talkie system and respond very quickly. I don't know what the consequences are, but the people we saw were taken to the office. 5) DO NOT BOOK EARLY MORNING TIME SLOT IF YOU ARE VISITING IN WET/ SHOULDER SEASONS The clouds tend to hang low in the sky in the morning so you might not have the best view/ you might have to wait for clouds to clear. 6) YOU CAN BUY THE BUS TICKET FOR THE BUS UPWARDS ONLINE, BEFOREHAND (12 USD per ride) Just look for the one bus company that runs the route. I can't remember off the top of my head. You can also purchase them at the bottom and at the top, the process is quick and easy. Hope this helps :) I did route 1&2 and was happy with all the areas it covered.",atractivos,positivo,atractivos,neutro,atractivos,negativo,atractivos,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_024cdbbb48567beb__atractivos,gm_024cdbbb48567beb,Centro Histórico de Lima,es,"Hay mucha aglomeración y personal de la municipalidad que realmente está demás, no saben orientar, tan igual personal de la policía que también está demás, en conclusión Falta personal que oriente y sepa de la cultura y sus costumbres, y recomendar, guiar, ilustración y hacer de la plaza un lugar, de agradable visita para todos, como peruanos y extranjeros. Recomiendo hacer aportación para tal fin. Pero la pregunta es a quien, porque el personal de la municipalidad, no razona",atractivos,positivo,atractivos,neutro,atractivos,negativo,atractivos,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_024cdbbb48567beb__costos,gm_024cdbbb48567beb,Centro Histórico de Lima,es,"Hay mucha aglomeración y personal de la municipalidad que realmente está demás, no saben orientar, tan igual personal de la policía que también está demás, en conclusión Falta personal que oriente y sepa de la cultura y sus costumbres, y recomendar, guiar, ilustración y hacer de la plaza un lugar, de agradable visita para todos, como peruanos y extranjeros. Recomiendo hacer aportación para tal fin. Pero la pregunta es a quien, porque el personal de la municipalidad, no razona",costos,positivo,costos,neutro,costos,negativo,costos,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_024cdbbb48567beb__seguridad,gm_024cdbbb48567beb,Centro Histórico de Lima,es,"Hay mucha aglomeración y personal de la municipalidad que realmente está demás, no saben orientar, tan igual personal de la policía que también está demás, en conclusión Falta personal que oriente y sepa de la cultura y sus costumbres, y recomendar, guiar, ilustración y hacer de la plaza un lugar, de agradable visita para todos, como peruanos y extranjeros. Recomiendo hacer aportación para tal fin. Pero la pregunta es a quien, porque el personal de la municipalidad, no razona",seguridad,positivo,seguridad,neutro,seguridad,negativo,seguridad,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_024cdbbb48567beb__atencion_servicio,gm_024cdbbb48567beb,Centro Histórico de Lima,es,"Hay mucha aglomeración y personal de la municipalidad que realmente está demás, no saben orientar, tan igual personal de la policía que también está demás, en conclusión Falta personal que oriente y sepa de la cultura y sus costumbres, y recomendar, guiar, ilustración y hacer de la plaza un lugar, de agradable visita para todos, como peruanos y extranjeros. Recomiendo hacer aportación para tal fin. Pero la pregunta es a quien, porque el personal de la municipalidad, no razona",atencion_servicio,positivo,atencion_servicio,neutro,atencion_servicio,negativo,atencion_servicio,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_024cdbbb48567beb__aforo_multitudes,gm_024cdbbb48567beb,Centro Histórico de Lima,es,"Hay mucha aglomeración y personal de la municipalidad que realmente está demás, no saben orientar, tan igual personal de la policía que también está demás, en conclusión Falta personal que oriente y sepa de la cultura y sus costumbres, y recomendar, guiar, ilustración y hacer de la plaza un lugar, de agradable visita para todos, como peruanos y extranjeros. Recomiendo hacer aportación para tal fin. Pero la pregunta es a quien, porque el personal de la municipalidad, no razona",aforo_multitudes,positivo,aforo_multitudes,neutro,aforo_multitudes,negativo,aforo_multitudes,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_15f6455bcd1dacfb__seguridad,gm_15f6455bcd1dacfb,Reserva Nacional de Paracas,es,"Terrible y lamentable el estado actual en el que se encuentran las.playas.de.la reserva. Abarrotadas, sin control o seguridad, desorden a donde se mire.",seguridad,positivo,seguridad,neutro,seguridad,negativo,seguridad,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_2e7730d7c6e3066e__atractivos,gm_2e7730d7c6e3066e,Santuario Histórico de Machu Picchu,es,SOLO TE PERMITEN 2:30 minutos de visita. NO SE PUEDE DISFRUTAR DE ESTA MARAVILLA. NO DA TIEMPO A VER TODO. MENOS MAL QUE EL DIA ANTERIOR HICE PARTE DEL CAMINO INCA ANDANDO.,atractivos,positivo,atractivos,neutro,atractivos,negativo,atractivos,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_168ef5909d650882__atractivos,gm_168ef5909d650882,Líneas y Geoglifos de Nasca y Palpa,es,Muy interesante aprender algo más de la cultura peruana y recomiendo llevar gorras y bloqueadores porque hace el calor es x demasiado fuerte.,atractivos,negativo,atractivos,neutro,atractivos,positivo,atractivos,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_168ef5909d650882__accesibilidad,gm_168ef5909d650882,Líneas y Geoglifos de Nasca y Palpa,es,Muy interesante aprender algo más de la cultura peruana y recomiendo llevar gorras y bloqueadores porque hace el calor es x demasiado fuerte.,accesibilidad,negativo,accesibilidad,neutro,accesibilidad,positivo,accesibilidad,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_168ef5909d650882__clima,gm_168ef5909d650882,Líneas y Geoglifos de Nasca y Palpa,es,Muy interesante aprender algo más de la cultura peruana y recomiendo llevar gorras y bloqueadores porque hace el calor es x demasiado fuerte.,clima,negativo,clima,neutro,clima,positivo,clima,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_21bb3a078a9508fa__atractivos,gm_21bb3a078a9508fa,Museo de Sitio Huaca Pucllana,en,"If you’ve been to any other Incan Ruins or done Machu Picchu this is not worth a visit. It’s one hour guided tour (no self touring allowed), walks through ruins within the city. Recommend other Inca sites, however it’s a reasonable way to burn an hour or so. Entry approx 15 soles",atractivos,positivo,atractivos,neutro,atractivos,negativo,atractivos,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_21bb3a078a9508fa__costos,gm_21bb3a078a9508fa,Museo de Sitio Huaca Pucllana,en,"If you’ve been to any other Incan Ruins or done Machu Picchu this is not worth a visit. It’s one hour guided tour (no self touring allowed), walks through ruins within the city. Recommend other Inca sites, however it’s a reasonable way to burn an hour or so. Entry approx 15 soles",costos,positivo,costos,neutro,costos,negativo,costos,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_1e7ed1a2ede0378e__clima,gm_1e7ed1a2ede0378e,Líneas y Geoglifos de Nasca y Palpa,en,"Nazca Lines is a great art work on the very large Canvas of Earth, carved out by excavating the soil of the Nazca Desert in southern Peru.They were created between 500 BC and 500 AD. No modern technology no modern Canvas at that time. These large geoglyphs are indeed wonderful world of art . Mirror to advancement of human creativity. Most lines run straight across the landscape. There are also depiction of animals and plants, made up of lines. The combined length of all the lines is over 1,300 km. It is preserved till today naturally due to its isolation and the dry, windless, stable climate of the plateau. But anthropogenic interference may obliterate it's beauty in coming years. In 1994 this has been declared a UNESCO World Heritage Site. Great salute to the artists selecting the Nature's Canvas which stood the test of time for the last 2500 years. Good luck.",clima,negativo,clima,neutro,clima,positivo,clima,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_457eacb3f1e5aae4__accesibilidad,gm_457eacb3f1e5aae4,Ciudadela de Kuélap,en,"I paid 100 PEN with an agency to get here which included transportation, meal, and entry. I think you need to buy entry tickets in advance. There were a couple small areas on each end that were closed, but you can still see everything. Pictures are less picturesque because there is a tin roof over the entryway walls. I consider it “open” and wouldn’t be deterred by the reviews saying it’s closed or partially closed. I think the biggest difference between Machu Pichu and here is that Machu Pichu is in a saddle so you can climb a mountain for those famous pictures. Kuelap is the top of the mountain so you can’t photograph the whole city. My tour was in Spanish, so I didn’t understand everything, but the views and experience were good. The walls are meant to hold in the dirt. The Chachapoya essentially created some level space to build on and it’s not considered a fort it’s a religious site. Lastly, the gondola (cabinas) station is marked permanently closed, but it’s actually open and located where it’s supposed to be on the map. You board a bus there and they take you further up the mountain to get onto the gondola.",accesibilidad,negativo,accesibilidad,neutro,accesibilidad,positivo,accesibilidad,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_457eacb3f1e5aae4__limpieza,gm_457eacb3f1e5aae4,Ciudadela de Kuélap,en,"I paid 100 PEN with an agency to get here which included transportation, meal, and entry. I think you need to buy entry tickets in advance. There were a couple small areas on each end that were closed, but you can still see everything. Pictures are less picturesque because there is a tin roof over the entryway walls. I consider it “open” and wouldn’t be deterred by the reviews saying it’s closed or partially closed. I think the biggest difference between Machu Pichu and here is that Machu Pichu is in a saddle so you can climb a mountain for those famous pictures. Kuelap is the top of the mountain so you can’t photograph the whole city. My tour was in Spanish, so I didn’t understand everything, but the views and experience were good. The walls are meant to hold in the dirt. The Chachapoya essentially created some level space to build on and it’s not considered a fort it’s a religious site. Lastly, the gondola (cabinas) station is marked permanently closed, but it’s actually open and located where it’s supposed to be on the map. You board a bus there and they take you further up the mountain to get onto the gondola.",limpieza,negativo,limpieza,neutro,limpieza,positivo,limpieza,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_22ec23e9d5a6f583__atractivos,gm_22ec23e9d5a6f583,Monasterio de Santa Catalina,es,"Pongo esta nota al tour, no al monasterio, que considero visita obligada en Arequipa y muy interesante, pero en el tour apenas se da más información que lo que era cada estancia. Ya que se paga una guía, se echa de menos más información y que no se ciña a un guion. Espero que mi reseña pueda ser constructiva y revisen su forma de hacer porque el sitio bien lo merece. Y también que no sea discriminatorio el precio, que a día de hoy es más caro para exrranjeros que para peruanos.",atractivos,positivo,atractivos,neutro,atractivos,negativo,atractivos,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_2f8afc8881bdbbdf__aforo_multitudes,gm_2f8afc8881bdbbdf,Santuario Histórico de Machu Picchu,es,"Un lugar lleno de buenas energías. Recomendable comprar tus entradas con anticipación por la red, leer las restricciones para el ingreso, conocer que hay diferentes circuitos y que el clima es casi impredecible y te puede tocar un día lleno de neblina.",aforo_multitudes,negativo,aforo_multitudes,neutro,aforo_multitudes,positivo,aforo_multitudes,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_45bf4581ebf3f9fe__atencion_servicio,gm_45bf4581ebf3f9fe,Monasterio de Santa Catalina,es,"Es un lugar para sacarse fotos. No tiene un buen trabajo museografico. Los textos del guión del convento son muy pobres, 4 líneas, cuando las hay. Sin guía debería uno poder aunque sea tener una idea de cómo era la vida cotidiana de las monjas, somera, saber que tenían servidumbre, cómo fue cambiando a lo largo del tiempo, un poco de historia social. Los objetos no son suficientes como para entenderlo todo. Creo que ese es su problema, descansan en la arquitectura que es preciosa y ya. La entrada es muy cara, 40 soles, no incluye visita guiada, para tener una debes pagar 20 soles más. La relación precio/servicio no es buena. Es una pena porque el lugar es hermoso, pero no te llevas nada de información, solo fotos bonitas.",atencion_servicio,positivo,atencion_servicio,neutro,atencion_servicio,negativo,atencion_servicio,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_1f007a27f9043521__atractivos,gm_1f007a27f9043521,Ciudadela de Kuélap,en,"Extremely disappointed. Long journey only to get to the site and find you can’t enter, only view from a platform from below. This view is literally just of a wall. Appreciate they need fix part of the site but I wouldn’t not recommend making the journey here until it’s properly open.",atractivos,positivo,atractivos,neutro,atractivos,negativo,atractivos,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_15f1140c77d82a42__atractivos,gm_15f1140c77d82a42,Santuario Histórico de Machu Picchu,es,"El sitio es increíble, le doy un 2 por la penosa organización que hay y el dinero que te dejas para poder verlo, un completo sin sentido. El primer punto negativo es tener que elegir que parte del lugar ver me parece un sinsentido, nosotros pagábamos por el tour 3A con Huaynapichu que no es especialmente económico y nos fuimos con la sensación de que nos faltaba por ver una gran parte. Además de que tienes el tiempo cobrado, en nuestro caso solo podíamos estar dentro 2h. Hay que añadir que antes de poder entrar hay que esperar una hora en el pueblo para que te suba el autobús, y después otros cuarenta minutos para entrar. Nuestra entrada era a las 7.00, terminamos entrando a las 7.30. El tour y la visita a la montaña fue bien, pero al salir estuvimos otra hora esperando hasta montar en el autobús de vuelta al pueblo. No me quiero imaginar estas esperas con frío o lluvia, pues estás completamente a la intemperie. Es algo que la autoridad competente tiene que pensar, no pueden tener a la gente en estas condiciones. En la vida habíamos visto algo así.",atractivos,positivo,atractivos,neutro,atractivos,negativo,atractivos,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_15f1140c77d82a42__atencion_servicio,gm_15f1140c77d82a42,Santuario Histórico de Machu Picchu,es,"El sitio es increíble, le doy un 2 por la penosa organización que hay y el dinero que te dejas para poder verlo, un completo sin sentido. El primer punto negativo es tener que elegir que parte del lugar ver me parece un sinsentido, nosotros pagábamos por el tour 3A con Huaynapichu que no es especialmente económico y nos fuimos con la sensación de que nos faltaba por ver una gran parte. Además de que tienes el tiempo cobrado, en nuestro caso solo podíamos estar dentro 2h. Hay que añadir que antes de poder entrar hay que esperar una hora en el pueblo para que te suba el autobús, y después otros cuarenta minutos para entrar. Nuestra entrada era a las 7.00, terminamos entrando a las 7.30. El tour y la visita a la montaña fue bien, pero al salir estuvimos otra hora esperando hasta montar en el autobús de vuelta al pueblo. No me quiero imaginar estas esperas con frío o lluvia, pues estás completamente a la intemperie. Es algo que la autoridad competente tiene que pensar, no pueden tener a la gente en estas condiciones. En la vida habíamos visto algo así.",atencion_servicio,positivo,atencion_servicio,neutro,atencion_servicio,negativo,atencion_servicio,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_26aae6042dcf1099__aforo_multitudes,gm_26aae6042dcf1099,Museo Tumbas Reales del Señor de Sipán,en,"The Royal Tombs of Sipán Museum near Chiclayo is a must-visit if you love history and archaeology. The pyramid-style architecture itself reflects the ancient Moche culture, and inside you walk through the story of the Lord of Sipán step by step, from excavation to the stunning treasures found in his tomb. The gold, silver, ceramics, and textiles give a deep insight into the artistry and beliefs of the Mochica civilization. The museum is very well maintained — clean, organized, and carefully curated with proper lighting and security that protect these priceless artifacts. The exhibits are presented with respect and detail, making it easy to appreciate the importance of this culture in Peru’s history. Some explanations are only in Spanish and weekends can be a bit crowded, but overall it is one of the best museums in Peru and highly recommended 😊😊😊",aforo_multitudes,negativo,aforo_multitudes,neutro,aforo_multitudes,positivo,aforo_multitudes,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_306b788903e06f6f__aforo_multitudes,gm_306b788903e06f6f,Circuito Mágico del Agua,en,Great place in the center of Lima at a low price. Overall it was around $2-3 to enter. There is plenty to see there and if possible avoid weekends as it is when it gets crowded. Worth checking out to escape the hustle and bustle of the city.,aforo_multitudes,negativo,aforo_multitudes,neutro,aforo_multitudes,positivo,aforo_multitudes,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
gm_0136658052b6a10d__atractivos,gm_0136658052b6a10d,Museo Tumbas Reales del Señor de Sipán,en,Royal tombs of sipan museum is good one to enjoy with family and friends too...,atractivos,positivo,atractivos,neutro,atractivos,negativo,atractivos,acuerdo_total_3_de_3,,desacuerdo_total_3_diferentes,excluir_desacuerdo_total_label
